NAMASTE_code,NAMASTE_term,Biomedicine_code,Biomedicine_term,Biomedicine_mapping_type,TM-2_code,TM-2_term,TM-2_mapping_type
AAC-24.1,kaPAnvitapakShAghAtaH,,,,SS80,Kapha predominant age pattern (TM2),semantic_match
AAC-24.2,pittAnvitapakShAghAtaH,,,,SS81,Pitta predominant age pattern (TM2),semantic_match
AAC-24.3,bAla-pakShAghAtaH,"MB53.0, MB53.2, MB53.Z","Alternating hemiplegia, Hemiplegia, unspecified, Spastic hemiplegia",semantic_match,SK22,Hemiplegia disorder (TM2),semantic_match
AAC-25(SP9Y),pAdadAhaH,ED31,Burning feet syndrome,semantic_match,SD87,Repressed fire disorder (TM1),semantic_match
AAC-26(SP9Y),pAdaharShaH,"ED31, MB40.4, ME65.4","Burning feet syndrome, Tingling fingers or feet or toes, Tingling of skin",semantic_match,SK54,Numbness disorder (TM2),semantic_match
AAC-27(SM83),pratitUnI,"GC01.Y, GC01.Z, GC40.6Y, GC40.6Z, GC50.10, GC50.1Z, GC50.Z, MD81.4, MF52, MF57","Absent or diminished bladder sensation associated with pelvic organ prolapse, Absent or diminished bladder sensation, unspecified, Bladder pain, Disorder of bladder, unspecified, Functional bladder disorders associated with pelvic organ prolapse, unspecified, Functional bladder disorders, not otherwise specified, unspecified, Other and unspecified abdominal pain, Other specified disorders of bladder, Other specified functional bladder disorders associated with pelvic organ prolapse, Symptom or complaint of bladder",semantic_match,SM33,Abdominal pain disorder (TM2),semantic_match
AAC-28,pratyaShThIlA,"EC90.10, GA90, XA7869","Hyperplasia of prostate, Prostatic urethra, Uraemic pruritus",semantic_match,SN08,Prostatic enlargement disorder (TM2),semantic_match
AAC-29,vraNAyAmaH,6B40,Post traumatic stress disorder,semantic_match,SE33,Acute convulsion disorder (TM1),semantic_match
SK21(AAC-30),pa~gguH,"8B44.0Z, MB50.1, MB56","Hereditary spastic paraplegia, unspecified, Paraplegia, Spastic tetraplegia",semantic_match,SK21,Paraplegia disorder (TM2),direct_match
SL21(AAC-31),minminaH,,,,SL21,Hypernasal speech disorder (TM2),direct_match
AAC-32,manyAstamBaH,,,,SL0Z,"Neck and throat disorders (TM2), unspecified",semantic_match
